book1,book2,cosine_similarity
106.txt,92.txt,0.533988194051614
64.txt,62.txt,0.5322216901567731
476.txt,404.txt,0.5274507809951287
226.txt,229.txt,0.5272495129823059
80.txt,75.txt,0.5209944566750612
420.txt,485.txt,0.5035304668506893
275.txt,273.txt,0.5018618889534128
92.txt,85.txt,0.4988009668462822
49.txt,56.txt,0.4881895846373569
80.txt,49.txt,0.47856605871598606
226.txt,237.txt,0.4734857425092485
250.txt,49.txt,0.47095232821082916
337.txt,336.txt,0.4694570448553435
420.txt,55.txt,0.46911747549223326
62.txt,68.txt,0.46693775172670343
80.txt,34.txt,0.465300705662535
18.txt,5.txt,0.46261950606550023
64.txt,68.txt,0.4624589729312309
129.txt,302.txt,0.4595184903122228
470.txt,130.txt,0.4592406956166873
485.txt,419.txt,0.45669431353184636
75.txt,56.txt,0.4561035860629431
486.txt,419.txt,0.45392344658379075
420.txt,486.txt,0.4522347570722139
250.txt,56.txt,0.43448248570977543
400.txt,442.txt,0.4298524659273046
18.txt,9.txt,0.42046718109467024
34.txt,39.txt,0.42008199386357004
420.txt,419.txt,0.41781336114861806
226.txt,274.txt,0.41743927734823294
238.txt,157.txt,0.4166145398620066
336.txt,340.txt,0.4142207464339488
38.txt,101.txt,0.41339724016160784
337.txt,340.txt,0.41269323346897485
221.txt,244.txt,0.4111362702902433
108.txt,244.txt,0.40753558908632037
26.txt,232.txt,0.40667777822440054
405.txt,406.txt,0.4065860477481316
10.txt,58.txt,0.40618880423555936
20.txt,409.txt,0.4054428309596302
26.txt,109.txt,0.40497107490027373
49.txt,39.txt,0.40423545689935864
419.txt,55.txt,0.4033053961420436
339.txt,340.txt,0.4029300687003501
30.txt,10.txt,0.3986513836032106
67.txt,408.txt,0.39603205010202946
202.txt,99.txt,0.3908390692484413
418.txt,275.txt,0.38782922743932713
75.txt,39.txt,0.38771141480904836
26.txt,357.txt,0.3806540723315055
454.txt,417.txt,0.3781762959458832
259.txt,207.txt,0.3772614326051594
10.txt,26.txt,0.37517975743572474
34.txt,56.txt,0.37415252656871667
213.txt,304.txt,0.373459362623335
287.txt,242.txt,0.369739113670465
392.txt,26.txt,0.369271315483423
105.txt,51.txt,0.36854593868355023
448.txt,445.txt,0.3678960393276912
54.txt,55.txt,0.36685581013176394
231.txt,274.txt,0.36275331381934695
58.txt,109.txt,0.35923811024328367
23.txt,99.txt,0.35744035328089774
26.txt,317.txt,0.35623467087642635
169.txt,357.txt,0.3560984013735297
38.txt,118.txt,0.35394884730435605
373.txt,281.txt,0.35047737553834873
132.txt,390.txt,0.3488098048404807
128.txt,57.txt,0.34837841618090193
357.txt,58.txt,0.34748590367330906
115.txt,88.txt,0.34642233021025715
52.txt,63.txt,0.34617140724645634
34.txt,250.txt,0.34396386916527477
